Relative Path,Name,Bait ID,Control
p31203/Proteomics/EXPLORIS_2/analytic_20230322/20230322_C31203_015_S485703_Nop7-1_Group_1.raw,Nop7-1,Nop7_wt,C
p31203/Proteomics/EXPLORIS_2/analytic_20230322/20230322_C31203_023_S485706_Nop7-4_Group_1.raw,Nop7-4,Nop7_wt,C
p31203/Proteomics/EXPLORIS_2/analytic_20230322/20230322_C31203_016_S485705_Nop7-3_Group_1.raw,Nop7-3,Nop7_wt,C
p31203/Proteomics/EXPLORIS_2/analytic_20230322/20230322_C31203_014_S485707_Nop7puf6delta-1_Group_2.raw,Nop7puf6delta-1,Nop7_puf6delta,T
p31203/Proteomics/EXPLORIS_2/analytic_20230322/20230322_C31203_020_S485704_Nop7-2_Group_1.raw,Nop7-2,Nop7_wt,C
p31203/Proteomics/EXPLORIS_2/analytic_20230322/20230322_C31203_021_S485708_Nop7puf6delta-2_Group_2.raw,Nop7puf6delta-2,Nop7_puf6delta,T
p31203/Proteomics/EXPLORIS_2/analytic_20230322/20230322_C31203_022_S485709_Nop7puf6delta-3_Group_2.raw,Nop7puf6delta-3,Nop7_puf6delta,T
p31203/Proteomics/EXPLORIS_2/analytic_20230322/20230322_C31203_017_S485710_Nop7puf6delta-4_Group_2.raw,Nop7puf6delta-4,Nop7_puf6delta,T
